,file_name,sample_name,class,file_path
23,Netrofil_13_28886 Obj 40x,28886,Netrofil,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Netrofil\Netrofil_13_28886 Obj 40x.png
24,Netrofil_14_28886 Obj 40x,28886,Netrofil,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Netrofil\Netrofil_14_28886 Obj 40x.png
25,Limfosit_15_28886 Obj 40x,28886,Limfosit,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Limfosit\Limfosit_15_28886 Obj 40x.png
26,Netrofil_16_28886 Obj 40x,28886,Netrofil,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Netrofil\Netrofil_16_28886 Obj 40x.png
3288,Sel Parabasal_2_SUH.17.1149003,SUH.17.1149,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.17.1149\crop_samples\Sel Parabasal\Sel Parabasal_2_SUH.17.1149003.png
3289,LSIL_3_SUH.17.1149003,SUH.17.1149,LSIL,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.17.1149\crop_samples\LSIL\LSIL_3_SUH.17.1149003.png
3290,Sel Parabasal_4_SUH.17.1149003,SUH.17.1149,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.17.1149\crop_samples\Sel Parabasal\Sel Parabasal_4_SUH.17.1149003.png
3291,Sel Parabasal_5_SUH.17.1149003,SUH.17.1149,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.17.1149\crop_samples\Sel Parabasal\Sel Parabasal_5_SUH.17.1149003.png
3292,Sel Parabasal_0_SUH.17.1149004,SUH.17.1149,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.17.1149\crop_samples\Sel Parabasal\Sel Parabasal_0_SUH.17.1149004.png
4306,Sel Parabasal_13_suh 18.431 obj.40x_2,SUH18.413,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH18.413\crop_samples\Sel Parabasal\Sel Parabasal_13_suh 18.431 obj.40x_2.png
4307,Sel Parabasal_14_suh 18.431 obj.40x_2,SUH18.413,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH18.413\crop_samples\Sel Parabasal\Sel Parabasal_14_suh 18.431 obj.40x_2.png
4308,Sel Parabasal_15_suh 18.431 obj.40x_2,SUH18.413,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH18.413\crop_samples\Sel Parabasal\Sel Parabasal_15_suh 18.431 obj.40x_2.png
4309,Sel Parabasal_16_suh 18.431 obj.40x_2,SUH18.413,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH18.413\crop_samples\Sel Parabasal\Sel Parabasal_16_suh 18.431 obj.40x_2.png
4310,Sel Parabasal_17_suh 18.431 obj.40x_2,SUH18.413,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH18.413\crop_samples\Sel Parabasal\Sel Parabasal_17_suh 18.431 obj.40x_2.png
4245,Sel Intermediate_21_SUH.18.387018,SUH.18.387,Sel Intermediate,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\Sel Intermediate\Sel Intermediate_21_SUH.18.387018.png
4246,SCC_22_SUH.18.387018,SUH.18.387,SCC,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\SCC\SCC_22_SUH.18.387018.png
4247,SCC_23_SUH.18.387018,SUH.18.387,SCC,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\SCC\SCC_23_SUH.18.387018.png
4248,HSIL_24_SUH.18.387018,SUH.18.387,HSIL,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\HSIL\HSIL_24_SUH.18.387018.png
4249,HSIL_25_SUH.18.387018,SUH.18.387,HSIL,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\HSIL\HSIL_25_SUH.18.387018.png
4250,Sel Superficial_26_SUH.18.387018,SUH.18.387,Sel Superficial,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\Sel Superficial\Sel Superficial_26_SUH.18.387018.png
4203,SCC_27_SUH.18.387017,SUH.18.387,SCC,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\SCC\SCC_27_SUH.18.387017.png
4204,SCC_28_SUH.18.387017,SUH.18.387,SCC,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\SCC\SCC_28_SUH.18.387017.png
4205,Netrofil_29_SUH.18.387017,SUH.18.387,Netrofil,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\Netrofil\Netrofil_29_SUH.18.387017.png
4206,Sel Intermediate_30_SUH.18.387017,SUH.18.387,Sel Intermediate,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\Sel Intermediate\Sel Intermediate_30_SUH.18.387017.png
4207,Limfosit_31_SUH.18.387017,SUH.18.387,Limfosit,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\Limfosit\Limfosit_31_SUH.18.387017.png
4208,SCC_32_SUH.18.387017,SUH.18.387,SCC,C:\Users\alamahmadh\Documents\Pap Smear\samples\SUH.18.387\crop_samples\SCC\SCC_32_SUH.18.387017.png
1972,Sel Superficial_4_s20 051 obj.10x_4,S20.051,Sel Superficial,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.051\crop_samples\Sel Superficial\Sel Superficial_4_s20 051 obj.10x_4.png
1973,Sel Superficial_5_s20 051 obj.10x_4,S20.051,Sel Superficial,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.051\crop_samples\Sel Superficial\Sel Superficial_5_s20 051 obj.10x_4.png
1974,Sel Superficial_6_s20 051 obj.10x_4,S20.051,Sel Superficial,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.051\crop_samples\Sel Superficial\Sel Superficial_6_s20 051 obj.10x_4.png
1975,Sel Intermediate_7_s20 051 obj.10x_4,S20.051,Sel Intermediate,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.051\crop_samples\Sel Intermediate\Sel Intermediate_7_s20 051 obj.10x_4.png
1976,Sel Intermediate_8_s20 051 obj.10x_4,S20.051,Sel Intermediate,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.051\crop_samples\Sel Intermediate\Sel Intermediate_8_s20 051 obj.10x_4.png
1977,Sel Superficial_9_s20 051 obj.10x_4,S20.051,Sel Superficial,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.051\crop_samples\Sel Superficial\Sel Superficial_9_s20 051 obj.10x_4.png
1174,Sel Superficial_41_S20.027006,S20.027,Sel Superficial,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.027\crop_samples\Sel Superficial\Sel Superficial_41_S20.027006.png
1175,Limfosit_42_S20.027006,S20.027,Limfosit,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.027\crop_samples\Limfosit\Limfosit_42_S20.027006.png
1176,Limfosit_43_S20.027006,S20.027,Limfosit,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.027\crop_samples\Limfosit\Limfosit_43_S20.027006.png
1177,Limfosit_44_S20.027006,S20.027,Limfosit,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.027\crop_samples\Limfosit\Limfosit_44_S20.027006.png
1178,Limfosit_45_S20.027006,S20.027,Limfosit,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.027\crop_samples\Limfosit\Limfosit_45_S20.027006.png
1179,Limfosit_46_S20.027006,S20.027,Limfosit,C:\Users\alamahmadh\Documents\Pap Smear\samples\S20.027\crop_samples\Limfosit\Limfosit_46_S20.027006.png
